Year,Sector,Price,Volume,Region,text
2007,AL1 1,354000,207,South East,AL1 1<br>Avg. Price: 354K<br>Sales Volume: 207
2007,AL1 2,300000,152,South East,AL1 2<br>Avg. Price: 300K<br>Sales Volume: 152
2007,AL1 3,288000,148,South East,AL1 3<br>Avg. Price: 288K<br>Sales Volume: 148
2007,AL1 4,506000,234,South East,AL1 4<br>Avg. Price: 506K<br>Sales Volume: 234
2007,AL1 5,299000,231,South East,AL1 5<br>Avg. Price: 299K<br>Sales Volume: 231
2007,AL10 0,180000,197,South East,AL10 0<br>Avg. Price: 180K<br>Sales Volume: 197
2007,AL10 8,178000,250,South East,AL10 8<br>Avg. Price: 178K<br>Sales Volume: 250
2007,AL10 9,226000,432,South East,AL10 9<br>Avg. Price: 226K<br>Sales Volume: 432
2007,AL2 1,256000,239,South East,AL2 1<br>Avg. Price: 256K<br>Sales Volume: 239
2007,AL2 2,348000,124,South East,AL2 2<br>Avg. Price: 348K<br>Sales Volume: 124
2007,AL2 3,369000,161,South East,AL2 3<br>Avg. Price: 369K<br>Sales Volume: 161
2007,AL3 4,473000,136,South East,AL3 4<br>Avg. Price: 473K<br>Sales Volume: 136
2007,AL3 5,401000,180,South East,AL3 5<br>Avg. Price: 401K<br>Sales Volume: 180
2007,AL3 6,376000,57,South East,AL3 6<br>Avg. Price: 376K<br>Sales Volume: 57
2007,AL3 7,344000,105,South East,AL3 7<br>Avg. Price: 344K<br>Sales Volume: 105
2007,AL3 8,275000,106,South East,AL3 8<br>Avg. Price: 275K<br>Sales Volume: 106
2007,AL4 0,343000,212,South East,AL4 0<br>Avg. Price: 343K<br>Sales Volume: 212
2007,AL4 8,431000,156,South East,AL4 8<br>Avg. Price: 431K<br>Sales Volume: 156
2007,AL4 9,286000,259,South East,AL4 9<br>Avg. Price: 286K<br>Sales Volume: 259
2007,AL5 1,437000,142,South East,AL5 1<br>Avg. Price: 437K<br>Sales Volume: 142
2007,AL5 2,808000,95,South East,AL5 2<br>Avg. Price: 808K<br>Sales Volume: 95
2007,AL5 3,542000,101,South East,AL5 3<br>Avg. Price: 542K<br>Sales Volume: 101
2007,AL5 4,427000,191,South East,AL5 4<br>Avg. Price: 427K<br>Sales Volume: 191
2007,AL5 5,430000,177,South East,AL5 5<br>Avg. Price: 430K<br>Sales Volume: 177
2007,AL6 0,525000,107,South East,AL6 0<br>Avg. Price: 525K<br>Sales Volume: 107
2007,AL6 9,425000,93,South East,AL6 9<br>Avg. Price: 425K<br>Sales Volume: 93
2007,AL7 1,239000,164,South East,AL7 1<br>Avg. Price: 239K<br>Sales Volume: 164
2007,AL7 2,212000,164,South East,AL7 2<br>Avg. Price: 212K<br>Sales Volume: 164
2007,AL7 3,196000,157,South East,AL7 3<br>Avg. Price: 196K<br>Sales Volume: 157
2007,AL7 4,217000,266,South East,AL7 4<br>Avg. Price: 217K<br>Sales Volume: 266
2007,AL8 6,296000,112,South East,AL8 6<br>Avg. Price: 296K<br>Sales Volume: 112
2007,AL8 7,320000,118,South East,AL8 7<br>Avg. Price: 320K<br>Sales Volume: 118
2007,AL9 5,308000,63,South East,AL9 5<br>Avg. Price: 308K<br>Sales Volume: 63
2007,AL9 6,768000,23,South East,AL9 6<br>Avg. Price: 768K<br>Sales Volume: 23
2007,AL9 7,412000,118,South East,AL9 7<br>Avg. Price: 412K<br>Sales Volume: 118
2007,B1 1,180000,373,Midlands,B1 1<br>Avg. Price: 180K<br>Sales Volume: 373
2007,B1 2,148000,148,Midlands,B1 2<br>Avg. Price: 148K<br>Sales Volume: 148
2007,B1 3,153000,102,Midlands,B1 3<br>Avg. Price: 153K<br>Sales Volume: 102
2007,B10 0,130000,98,Midlands,B10 0<br>Avg. Price: 130K<br>Sales Volume: 98
2007,B10 9,131000,173,Midlands,B10 9<br>Avg. Price: 131K<br>Sales Volume: 173
2007,B11 1,122000,106,Midlands,B11 1<br>Avg. Price: 122K<br>Sales Volume: 106
2007,B11 2,108000,69,Midlands,B11 2<br>Avg. Price: 108K<br>Sales Volume: 69
2007,B11 3,123000,284,Midlands,B11 3<br>Avg. Price: 123K<br>Sales Volume: 284
2007,B11 4,178000,110,Midlands,B11 4<br>Avg. Price: 178K<br>Sales Volume: 110
2007,B12 0,164000,110,Midlands,B12 0<br>Avg. Price: 164K<br>Sales Volume: 110
2007,B12 8,122000,68,Midlands,B12 8<br>Avg. Price: 122K<br>Sales Volume: 68
2007,B12 9,139000,55,Midlands,B12 9<br>Avg. Price: 139K<br>Sales Volume: 55
2007,B13 0,170000,263,Midlands,B13 0<br>Avg. Price: 170K<br>Sales Volume: 263
2007,B13 8,248000,125,Midlands,B13 8<br>Avg. Price: 248K<br>Sales Volume: 125
2007,B13 9,211000,253,Midlands,B13 9<br>Avg. Price: 211K<br>Sales Volume: 253
2007,B14 4,136000,205,Midlands,B14 4<br>Avg. Price: 136K<br>Sales Volume: 205
2007,B14 5,131000,178,Midlands,B14 5<br>Avg. Price: 131K<br>Sales Volume: 178
